well_id,lat,lon,district,taluka,specific_yield,sy_source,village,aquifer_type,well_depth,n_observations,first_obs,last_obs
MH00724c877a,17.6167,75.6333,Solapur,Mohol,0.02,nearest_well,Sohole,Unconfined,14.0,82,2000-01-15,2023-05-15
MHfc1d408f4f,17.5917,75.8833,Solapur,Solapur North,0.02,nearest_well,Soregaon,Unconfined,16.62,75,2000-01-15,2023-05-15
MH348dc6c69a,18.0292,75.1917,Solapur,Madha,0.02,nearest_well,Tembhurni,Unconfined,14.0,74,2000-01-15,2023-01-15
MH4c4e28d327,17.4333,76.225,Solapur,Akkalkot,0.02,nearest_well,Udagi,Semi-confined,45.0,56,2003-08-15,2023-05-15
MH39d1d84df2,17.7833,75.95,Solapur,Solapur South,0.02,nearest_well,Ule,Unconfined,11.4,75,2000-01-15,2023-05-15
MHde95c2b83f,18.1833,75.5833,Solapur,Barshi,0.02,nearest_well,Uplai R.S.,Semi-confined,50.0,68,2000-05-15,2023-05-15
MH7ecd98ba91,18.25,75.3333,Solapur,Karmala,0.02,nearest_well,Varkute,Unconfined,10.33,81,2000-01-15,2023-05-15
MH848c0c07c4,17.8,75.05,Solapur,Malshiras,0.02,nearest_well,Velapur,Unconfined,9.0,80,2000-01-15,2023-05-15
MH8fab366502,17.4333,75.2389,Solapur,Sangole,0.02,nearest_well,Wadhegaon,Unconfined,10.32,74,2000-01-15,2023-01-15
MHef5c517f4a,17.3944,75.2111,Solapur,Sangole,0.02,nearest_well,Wasud,Semi-confined,81.0,43,2003-08-15,2023-05-15
MH4b2c10fd8d,19.4667,73.1,Thane,Bhiwandi,0.02,district_modal,Ambadi,Unconfined,7.3,68,2000-01-15,2022-08-15
MH0707caed87,19.3667,73.0833,Thane,Bhiwandi,0.02,measured,Angaon,Unconfined,5.5,78,2000-01-15,2023-01-15
MH2b93dd495e,19.8833,73.1667,Thane,Jawhar,0.02,measured,Kasatwadi,Unconfined,5.05,78,2000-01-15,2023-01-15
MHe08a0515e6,19.2833,72.95,Thane,Thane,0.02,measured,Bindarpada,Unconfined,6.8,84,2000-01-15,2023-05-15
MH315b18c958,19.4667,73.3333,Thane,Shahapur,0.02,measured,Cherfully,Unconfined,6.0,81,2000-01-15,2023-05-15
MH61f947d582,19.1111,73.0639,Thane,Thane,0.02,measured,Dahisar,Unconfined,6.5,74,2000-01-15,2023-05-15
MH9719ad3c57,19.6667,73.0833,Thane,Vada,0.02,measured,Sapane Kh,Unconfined,8.0,84,2000-01-15,2023-05-15
MH434d6fa490,19.575,73.1819,Thane,Vada,0.02,measured,Kambare,Unconfined,7.0,78,2000-01-15,2023-01-15
MH77baa521d7,19.9111,73.1167,Thane,Vikramgad,0.02,measured,Karhe,Unconfined,5.3,80,2000-01-15,2023-01-15
MH6a7b1bb9c1,19.2833,73.2667,Thane,Kalyan,0.02,measured,Kolimb,Unconfined,14.0,85,2000-01-15,2023-05-15
MHa07f2e1462,19.25,73.3833,Thane,Murbad,0.02,district_modal,Murbad,Unconfined,4.7,78,2000-01-15,2023-05-15
MH8f557b773c,19.4556,73.5333,Thane,Shahapur,0.02,measured,Nishanpada,Unconfined,6.7,79,2000-01-15,2023-05-15
MH94d06bf915,19.3625,73.1722,Thane,Bhiwandi,0.02,district_modal,Padghe,Unconfined,5.25,78,2000-01-15,2023-05-15
MH205b66a38f,19.6778,73.0111,Thane,Vada,0.02,measured,Kalamkhand,Unconfined,6.3,85,2000-01-15,2023-05-15
MHd08553db75,20.0125,73.2319,Thane,Jawhar,0.02,measured,Vp Dadarkopara,Unconfined,8.0,78,2000-01-15,2023-01-15
MH4794bf7d9a,19.4472,73.4389,Thane,Shahapur,0.02,measured,Sathgaon,Unconfined,7.25,82,2000-01-15,2023-05-15
MH9c6ce8af46,19.8283,72.9583,Thane,Vikramgad,0.02,district_modal,Vilshet,Unconfined,10.0,82,2000-01-15,2023-05-15
MH4abc59b177,19.7014,73.4903,Thane,Shahapur,0.02,district_modal,Talempada (Bihigaon),Unconfined,9.65,76,2000-01-15,2023-05-15
